Player ID,Season ID,Experience
2225,2023-24,18
2225,2022-23,18
2225,2021-22,18
2225,2020-21,18
2225,2019-20,18
2225,2018-19,18
2225,2017-18,17
2225,2016-17,16
2225,2015-16,15
202349,2023-24,7
202349,2022-23,7
202349,2021-22,7
202349,2020-21,7
202349,2019-20,7
202349,2018-19,7
202349,2017-18,7
202349,2016-17,7
202349,2015-16,6
202353,2023-24,1
202353,2022-23,1
202353,2021-22,1
202353,2020-21,1
202353,2019-20,1
202353,2018-19,1
202353,2017-18,1
202353,2016-17,1
202353,2015-16,1
2365,2023-24,15
2365,2022-23,15
2365,2021-22,15
2365,2020-21,15
2365,2019-20,15
2365,2018-19,15
2365,2017-18,15
2365,2016-17,15
2365,2015-16,14
200746,2023-24,16
200746,2022-23,16
200746,2021-22,16
200746,2020-21,15
200746,2019-20,14
200746,2018-19,13
200746,2017-18,12
200746,2016-17,11
200746,2015-16,10
2399,2023-24,15
2399,2022-23,15
2399,2021-22,15
2399,2020-21,15
2399,2019-20,15
2399,2018-19,15
2399,2017-18,15
2399,2016-17,15
2399,2015-16,14
2400,2023-24,14
2400,2022-23,14
2400,2021-22,14
2400,2020-21,14
2400,2019-20,14
2400,2018-19,14
2400,2017-18,14
2400,2016-17,14
2400,2015-16,14
2403,2023-24,17
2403,2022-23,17
2403,2021-22,17
2403,2020-21,17
2403,2019-20,17
2403,2018-19,17
2403,2017-18,16
2403,2016-17,15
2403,2015-16,14
2405,2023-24,14
2405,2022-23,14
2405,2021-22,14
2405,2020-21,14
2405,2019-20,14
2405,2018-19,14
2405,2017-18,14
2405,2016-17,14
2405,2015-16,14
2406,2023-24,14
2406,2022-23,14
2406,2021-22,14
2406,2020-21,14
2406,2019-20,14
2406,2018-19,14
2406,2017-18,14
2406,2016-17,14
2406,2015-16,14
200751,2023-24,11
200751,2022-23,11
200751,2021-22,11
200751,2020-21,11
200751,2019-20,11
200751,2018-19,11
200751,2017-18,11
200751,2016-17,11
200751,2015-16,10
2419,2023-24,14
2419,2022-23,14
2419,2021-22,14
2419,2020-21,14
2419,2019-20,14
2419,2018-19,14
2419,2017-18,14
2419,2016-17,14
2419,2015-16,14
2440,2023-24,14
2440,2022-23,14
2440,2021-22,14
2440,2020-21,14
2440,2019-20,14
2440,2018-19,14
2440,2017-18,14
2440,2016-17,14
2440,2015-16,13
2449,2023-24,10
2449,2022-23,10
2449,2021-22,10
2449,2020-21,10
2449,2019-20,10
2449,2018-19,10
2449,2017-18,10
2449,2016-17,10
2449,2015-16,9
2544,2023-24,21
2544,2022-23,20
2544,2021-22,19
2544,2020-21,18
2544,2019-20,17
2544,2018-19,16
2544,2017-18,15
2544,2016-17,14
2544,2015-16,13
2546,2023-24,19
2546,2022-23,19
2546,2021-22,19
2546,2020-21,18
2546,2019-20,17
2546,2018-19,16
2546,2017-18,15
2546,2016-17,14
2546,2015-16,13
2547,2023-24,13
2547,2022-23,13
2547,2021-22,13
2547,2020-21,13
2547,2019-20,13
2547,2018-19,13
2547,2017-18,13
2547,2016-17,13
2547,2015-16,13
2548,2023-24,16
2548,2022-23,16
2548,2021-22,16
2548,2020-21,16
2548,2019-20,16
2548,2018-19,16
2548,2017-18,15
2548,2016-17,14
2548,2015-16,13
2549,2023-24,13
2549,2022-23,13
2549,2021-22,13
2549,2020-21,13
2549,2019-20,13
2549,2018-19,13
2549,2017-18,13
2549,2016-17,13
2549,2015-16,13
2550,2023-24,13
2550,2022-23,13
2550,2021-22,13
2550,2020-21,13
2550,2019-20,13
2550,2018-19,13
2550,2017-18,13
2550,2016-17,13
2550,2015-16,13
2555,2023-24,14
2555,2022-23,14
2555,2021-22,14
2555,2020-21,14
2555,2019-20,14
2555,2018-19,14
2555,2017-18,14
2555,2016-17,13
2555,2015-16,12
2561,2023-24,15
2561,2022-23,15
2561,2021-22,15
2561,2020-21,15
2561,2019-20,15
2561,2018-19,15
2561,2017-18,15
2561,2016-17,14
2561,2015-16,13
2563,2023-24,13
2563,2022-23,13
2563,2021-22,13
2563,2020-21,13
2563,2019-20,13
2563,2018-19,13
2563,2017-18,13
2563,2016-17,13
2563,2015-16,12
2564,2023-24,14
2564,2022-23,14
2564,2021-22,14
2564,2020-21,14
2564,2019-20,14
2564,2018-19,14
2564,2017-18,14
2564,2016-17,14
2564,2015-16,13
2570,2023-24,14
2570,2022-23,14
2570,2021-22,14
2570,2020-21,14
2570,2019-20,14
2570,2018-19,14
2570,2017-18,14
2570,2016-17,13
2570,2015-16,13
2571,2023-24,14
2571,2022-23,14
2571,2021-22,14
2571,2020-21,14
2571,2019-20,14
2571,2018-19,14
2571,2017-18,14
2571,2016-17,14
2571,2015-16,13
2581,2023-24,13
2581,2022-23,13
2581,2021-22,13
2581,2020-21,13
2581,2019-20,13
2581,2018-19,13
2581,2017-18,13
2581,2016-17,13
2581,2015-16,13
2585,2023-24,16
2585,2022-23,16
2585,2021-22,16
2585,2020-21,16
2585,2019-20,16
2585,2018-19,16
2585,2017-18,15
2585,2016-17,14
2585,2015-16,13
2588,2023-24,12
2588,2022-23,12
2588,2021-22,12
2588,2020-21,12
2588,2019-20,12
2588,2018-19,12
2588,2017-18,12
2588,2016-17,12
2588,2015-16,12
2590,2023-24,13
2590,2022-23,13
2590,2021-22,13
2590,2020-21,13
2590,2019-20,13
2590,2018-19,13
2590,2017-18,13
2590,2016-17,13
2590,2015-16,13
2592,2023-24,14
2592,2022-23,14
2592,2021-22,14
2592,2020-21,14
2592,2019-20,14
2592,2018-19,14
2592,2017-18,14
2592,2016-17,14
2592,2015-16,13
2594,2023-24,17
2594,2022-23,17
2594,2021-22,17
2594,2020-21,17
2594,2019-20,17
2594,2018-19,16
2594,2017-18,15
2594,2016-17,14
2594,2015-16,13
2617,2023-24,20
2617,2022-23,20
2617,2021-22,19
2617,2020-21,18
2617,2019-20,17
2617,2018-19,16
2617,2017-18,15
2617,2016-17,14
2617,2015-16,13
2730,2023-24,18
2730,2022-23,18
2730,2021-22,18
2730,2020-21,17
2730,2019-20,16
2730,2018-19,15
2730,2017-18,14
2730,2016-17,13
2730,2015-16,12
2731,2023-24,10
2731,2022-23,10
2731,2021-22,10
2731,2020-21,10
2731,2019-20,10
2731,2018-19,10
2731,2017-18,10
2731,2016-17,9
2731,2015-16,9
2733,2023-24,14
2733,2022-23,14
2733,2021-22,14
2733,2020-21,14
2733,2019-20,14
2733,2018-19,14
2733,2017-18,13
2733,2016-17,12
2733,2015-16,11
2734,2023-24,15
2734,2022-23,15
2734,2021-22,15
2734,2020-21,15
2734,2019-20,15
2734,2018-19,15
2734,2017-18,14
2734,2016-17,13
2734,2015-16,12
2736,2023-24,15
2736,2022-23,15
2736,2021-22,15
2736,2020-21,15
2736,2019-20,15
2736,2018-19,15
2736,2017-18,14
2736,2016-17,13
2736,2015-16,12
2738,2023-24,19
2738,2022-23,19
2738,2021-22,18
2738,2020-21,17
2738,2019-20,16
2738,2018-19,15
2738,2017-18,14
2738,2016-17,13
2738,2015-16,12
2743,2023-24,13
2743,2022-23,13
2743,2021-22,13
2743,2020-21,13
2743,2019-20,13
2743,2018-19,13
2743,2017-18,13
2743,2016-17,13
2743,2015-16,12
2744,2023-24,14
2744,2022-23,14
2744,2021-22,14
2744,2020-21,14
2744,2019-20,14
2744,2018-19,14
2744,2017-18,14
2744,2016-17,13
2744,2015-16,12
2746,2023-24,13
2746,2022-23,13
2746,2021-22,13
2746,2020-21,13
2746,2019-20,13
2746,2018-19,13
2746,2017-18,13
2746,2016-17,12
2746,2015-16,12
2747,2023-24,16
2747,2022-23,16
2747,2021-22,16
2747,2020-21,16
2747,2019-20,16
2747,2018-19,15
2747,2017-18,14
2747,2016-17,13
2747,2015-16,12
2748,2023-24,11
2748,2022-23,11
2748,2021-22,11
2748,2020-21,11
2748,2019-20,11
2748,2018-19,11
2748,2017-18,11
2748,2016-17,11
2748,2015-16,11
2749,2023-24,14
2749,2022-23,14
2749,2021-22,14
2749,2020-21,14
2749,2019-20,14
2749,2018-19,14
2749,2017-18,14
2749,2016-17,13
2749,2015-16,12
2754,2023-24,14
2754,2022-23,14
2754,2021-22,14
2754,2020-21,14
2754,2019-20,14
2754,2018-19,14
2754,2017-18,14
2754,2016-17,13
2754,2015-16,12
2755,2023-24,12
2755,2022-23,12
2755,2021-22,12
2755,2020-21,12
2755,2019-20,12
2755,2018-19,12
2755,2017-18,12
2755,2016-17,12
2755,2015-16,12
2756,2023-24,10
2756,2022-23,10
2756,2021-22,10
2756,2020-21,10
2756,2019-20,10
2756,2018-19,10
2756,2017-18,10
2756,2016-17,10
2756,2015-16,9
2757,2023-24,13
2757,2022-23,13
2757,2021-22,13
2757,2020-21,13
2757,2019-20,13
2757,2018-19,13
2757,2017-18,13
2757,2016-17,13
2757,2015-16,12
2760,2023-24,14
2760,2022-23,14
2760,2021-22,14
2760,2020-21,14
2760,2019-20,13
2760,2018-19,13
2760,2017-18,13
2760,2016-17,13
2760,2015-16,12
2772,2023-24,18
2772,2022-23,18
2772,2021-22,18
2772,2020-21,17
2772,2019-20,16
2772,2018-19,15
2772,2017-18,14
2772,2016-17,13
2772,2015-16,12
101106,2023-24,14
101106,2022-23,14
101106,2021-22,14
101106,2020-21,14
101106,2019-20,14
101106,2018-19,14
101106,2017-18,13
101106,2016-17,12
101106,2015-16,11
101107,2023-24,15
101107,2022-23,15
101107,2021-22,15
101107,2020-21,15
101107,2019-20,15
101107,2018-19,14
101107,2017-18,13
101107,2016-17,12
101107,2015-16,11
101108,2023-24,19
101108,2022-23,18
101108,2021-22,17
101108,2020-21,16
101108,2019-20,15
101108,2018-19,14
101108,2017-18,13
101108,2016-17,12
101108,2015-16,11
101109,2023-24,14
101109,2022-23,14
101109,2021-22,14
101109,2020-21,14
101109,2019-20,14
101109,2018-19,14
101109,2017-18,13
101109,2016-17,12
101109,2015-16,11
101111,2023-24,11
101111,2022-23,11
101111,2021-22,11
101111,2020-21,11
101111,2019-20,11
101111,2018-19,11
101111,2017-18,11
101111,2016-17,11
101111,2015-16,11
101112,2023-24,13
101112,2022-23,13
101112,2021-22,13
101112,2020-21,13
101112,2019-20,13
101112,2018-19,13
101112,2017-18,12
101112,2016-17,11
101112,2015-16,10
101114,2023-24,12
101114,2022-23,12
101114,2021-22,12
101114,2020-21,12
101114,2019-20,12
101114,2018-19,12
101114,2017-18,12
101114,2016-17,12
101114,2015-16,11
101123,2023-24,12
101123,2022-23,12
101123,2021-22,12
101123,2020-21,12
101123,2019-20,12
101123,2018-19,12
101123,2017-18,11
101123,2016-17,10
101123,2015-16,9
101127,2023-24,13
101127,2022-23,13
101127,2021-22,13
101127,2020-21,13
101127,2019-20,13
